Experience,Employment type,Satisfaction,Salary,Stability,Age,Location
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,27,southeast
5 - 9 years,Self-employed / Small business owner,"Not really satisfied, but I deal","$100,000 to $149,999",I'm a little concerned,31,west
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,30,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,29,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Rock solid,26,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,30,southeast
15 - 20 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,45,west
5 - 9 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Fairly stable,31,west
1 - 4 years,Self-employed / Small business owner,Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,31,northeast
20+ years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,64,west
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,31,west
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,35,southeast
1 - 4 years,Full-time employee (in-house),Ready to call it quits,"$75,000 to $99,999",I keep my things in a box,24,northeast
15 - 20 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,52,southeast
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",I'm a little concerned,35,northeast
5 - 9 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$50,000 to $74,999",Rock solid,36,southeast
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,30,southeast
10 - 14 years,Full-time employee (agency/consultancy),Ready to call it quits,"$100,000 to $149,999",Fairly stable,33,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,26,southeast
10 - 14 years,Full-time employee (agency/consultancy),Not sure,"$35,000 to $49,999",I'm a little concerned,35,midwest
10 - 14 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$50,000 to $74,999",Fairly stable,28,west
10 - 14 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$50,000 to $74,999",Rock solid,30,southwest
Less than 1 year,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$25,000 to $34,999",Fairly stable,26,northeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,22,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,27,southeast
Less than 1 year,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",I'm a little concerned,27,southwest
10 - 14 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Fairly stable,34,southeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Rock solid,29,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,26,southeast
1 - 4 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$75,000 to $99,999",Rock solid,25,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,24,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,30,southeast
20+ years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,51,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,27,southeast
1 - 4 years,"Permalance (agency, in-house, etc.)","Not really satisfied, but I deal","$75,000 to $99,999",I'm a little concerned,39,southeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,30,northeast
1 - 4 years,Freelance,"Not really satisfied, but I deal","Less than $25,000",I'm a little concerned,24,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,27,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,31,southeast
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,42,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,27,northeast
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,43,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,27,northeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,31,west
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,24,southeast
1 - 4 years,Freelance,"Not really satisfied, but I deal","Less than $25,000",I'm a little concerned,23,southeast
5 - 9 years,Freelance,"Not really satisfied, but I deal","$100,000 to $149,999",I'm a little concerned,27,southeast
20+ years,Self-employed / Small business owner,"Happy, but there's room for improvement","Less than $25,000",I'm a little concerned,49,west
5 - 9 years,Freelance,"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,34,southeast
20+ years,"Permalance (agency, in-house, etc.)","Not really satisfied, but I deal","$150,000 to $199,999",I'm a little concerned,53,southeast
Less than 1 year,Full-time employee (agency/consultancy),Ready to call it quits,"$50,000 to $74,999",I'm a little concerned,23,northeast
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,33,northeast
5 - 9 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$50,000 to $74,999",Fairly stable,27,southeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,27,southeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,30,west
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,27,southeast
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,40,southwest
5 - 9 years,Full-time employee (in-house),Ready to call it quits,"$35,000 to $49,999",Fairly stable,31,west
10 - 14 years,"Permalance (agency, in-house, etc.)","Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,29,midwest
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,36,west
5 - 9 years,Freelance,"Happy, but there's room for improvement","$25,000 to $34,999",I'm a little concerned,29,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$100,000 to $149,999",I'm a little concerned,34,northeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,28,northeast
Less than 1 year,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,26,southwest
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",I keep my things in a box,35,northeast
5 - 9 years,Self-employed / Small business owner,"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,36,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,31,southeast
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$35,000 to $49,999",I'm a little concerned,42,west
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$25,000 to $34,999",Fairly stable,22,southeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,24,southwest
10 - 14 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Not sure,35,northeast
20+ years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,44,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,28,northeast
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,37,southeast
5 - 9 years,Freelance,Extremely satisfied with my work situation,"$100,000 to $149,999",Fairly stable,30,west
Less than 1 year,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,27,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,35,midwest
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,22,midwest
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",I'm a little concerned,23,midwest
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,28,midwest
20+ years,Freelance,"Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,55,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,27,southeast
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,25,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,27,midwest
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,25,northeast
5 - 9 years,Freelance,"Happy, but there's room for improvement","Less than $25,000",Rock solid,23,midwest
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",I'm a little concerned,23,midwest
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,42,southeast
20+ years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,51,midwest
15 - 20 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,36,midwest
5 - 9 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$50,000 to $74,999",Fairly stable,54,midwest
20+ years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,60,midwest
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,24,west
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Rock solid,25,southwest
15 - 20 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,42,southeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,28,southwest
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,28,southeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,25,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",I keep my things in a box,40,west
1 - 4 years,Freelance,"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,25,northeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$25,000 to $34,999",Fairly stable,21,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,29,west
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,32,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$25,000 to $34,999",I'm a little concerned,23,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,33,southeast
1 - 4 years,"Permalance (agency, in-house, etc.)","Happy, but there's room for improvement","$25,000 to $34,999",I'm a little concerned,23,northeast
20+ years,Full-time employee (in-house),"Happy, but there's room for improvement","$200,000+",Fairly stable,45,northeast
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,26,southwest
20+ years,Self-employed / Small business owner,"Happy, but there's room for improvement","$100,000 to $149,999",I'm a little concerned,45,southeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Not sure,25,west
1 - 4 years,Educator,"Happy, but there's room for improvement","Less than $25,000",I'm a little concerned,24,west
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,22,midwest
1 - 4 years,Freelance,"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,26,west
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,44,southeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Rock solid,28,northeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Rock solid,27,west
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,24,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,28,west
15 - 20 years,Educator,"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,40,southwest
1 - 4 years,Full-time employee (in-house),Ready to call it quits,"$100,000 to $149,999",Fairly stable,36,midwest
15 - 20 years,Full-time employee (in-house),"Not really satisfied, but I deal","$25,000 to $34,999",Fairly stable,44,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,29,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,27,midwest
15 - 20 years,Educator,Extremely satisfied with my work situation,"$75,000 to $99,999",Rock solid,47,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,30,northeast
10 - 14 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,29,northeast
15 - 20 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$100,000 to $149,999",Fairly stable,39,northeast
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$25,000 to $34,999",Fairly stable,24,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,29,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,33,northeast
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$35,000 to $49,999",I'm a little concerned,26,northeast
20+ years,Freelance,"Happy, but there's room for improvement","Less than $25,000",I'm a little concerned,51,west
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,29,west
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,29,midwest
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,46,west
20+ years,Freelance,"Happy, but there's room for improvement","$25,000 to $34,999",I'm a little concerned,40,west
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,24,west
10 - 14 years,Educator,Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,33,southwest
15 - 20 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,38,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,27,west
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,35,southeast
10 - 14 years,Full-time employee (agency/consultancy),Ready to call it quits,"$50,000 to $74,999",Fairly stable,34,southwest
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,31,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,29,midwest
1 - 4 years,Freelance,"Not really satisfied, but I deal","Less than $25,000",I'm a little concerned,21,northeast
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$35,000 to $49,999",I'm a little concerned,25,midwest
10 - 14 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,35,northeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",I'm a little concerned,31,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","Less than $25,000",I'm a little concerned,24,midwest
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,23,west
10 - 14 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$200,000+",Rock solid,35,west
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",I'm a little concerned,28,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,24,midwest
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$25,000 to $34,999",I'm a little concerned,23,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",I'm a little concerned,30,northeast
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,40,northeast
20+ years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,56,midwest
20+ years,Self-employed / Small business owner,Extremely satisfied with my work situation,"$150,000 to $199,999",Fairly stable,48,southeast
20+ years,Self-employed / Small business owner,"Happy, but there's room for improvement","$200,000+",Fairly stable,50,northeast
5 - 9 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$200,000+",Fairly stable,31,northeast
1 - 4 years,Freelance,"Not really satisfied, but I deal","Less than $25,000",I'm a little concerned,25,west
5 - 9 years,Freelance,"Happy, but there's room for improvement","Less than $25,000",Fairly stable,26,midwest
20+ years,Self-employed / Small business owner,"Not really satisfied, but I deal","$200,000+",Fairly stable,41,northeast
10 - 14 years,Freelance,Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,38,midwest
10 - 14 years,"Permalance (agency, in-house, etc.)","Not really satisfied, but I deal","$100,000 to $149,999",I keep my things in a box,34,northeast
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$50,000 to $74,999",Rock solid,23,northeast
20+ years,Educator,Extremely satisfied with my work situation,"$200,000+",Rock solid,64,northeast
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,27,northeast
20+ years,Self-employed / Small business owner,"Happy, but there's room for improvement","$200,000+",Fairly stable,45,west
Less than 1 year,Full-time employee (agency/consultancy),Ready to call it quits,"$35,000 to $49,999",Not sure,23,southwest
10 - 14 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,35,southwest
15 - 20 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,34,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,32,northeast
1 - 4 years,Full-time employee (in-house),Ready to call it quits,"$35,000 to $49,999",Fairly stable,25,midwest
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,24,northeast
1 - 4 years,Full-time employee (agency/consultancy),Ready to call it quits,"$35,000 to $49,999",Rock solid,25,northeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,25,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$150,000 to $199,999",Rock solid,31,northeast
20+ years,Full-time employee (in-house),"Not really satisfied, but I deal","$100,000 to $149,999",Fairly stable,46,northeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,25,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,26,southeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,24,northeast
15 - 20 years,Self-employed / Small business owner,"Not really satisfied, but I deal","$35,000 to $49,999",I'm a little concerned,39,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,28,west
15 - 20 years,Educator,"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,44,northeast
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$75,000 to $99,999",Rock solid,23,southwest
10 - 14 years,Educator,"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,43,northeast
15 - 20 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$100,000 to $149,999",I'm a little concerned,47,west
1 - 4 years,Freelance,"Happy, but there's room for improvement","Less than $25,000",I'm a little concerned,26,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,30,northeast
15 - 20 years,Full-time employee (in-house),"Happy, but there's room for improvement","$150,000 to $199,999",Fairly stable,39,southwest
20+ years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,44,southwest
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,25,northeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Rock solid,26,west
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,26,west
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,27,northeast
10 - 14 years,Educator,"Happy, but there's room for improvement","$25,000 to $34,999",I'm a little concerned,28,west
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,23,west
5 - 9 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$75,000 to $99,999",I'm a little concerned,26,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,29,west
10 - 14 years,Educator,Extremely satisfied with my work situation,"$100,000 to $149,999",Fairly stable,34,northeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$25,000 to $34,999",Fairly stable,25,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,25,midwest
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",I'm a little concerned,26,northeast
10 - 14 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Rock solid,34,west
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,26,southeast
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",I'm a little concerned,30,west
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$35,000 to $49,999",Fairly stable,26,west
1 - 4 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,23,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",Fairly stable,29,southeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,25,northeast
20+ years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$100,000 to $149,999",Rock solid,51,west
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$35,000 to $49,999",Rock solid,22,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,39,west
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,39,southwest
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$35,000 to $49,999",Fairly stable,24,midwest
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,30,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,24,midwest
20+ years,Educator,"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,49,northeast
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$200,000+",Fairly stable,43,west
1 - 4 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$50,000 to $74,999",Rock solid,26,west
20+ years,Educator,Ready to call it quits,"$75,000 to $99,999",I keep my things in a box,46,midwest
5 - 9 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,29,northeast
1 - 4 years,Full-time employee (in-house),"Happy, but there's room for improvement","$50,000 to $74,999",Fairly stable,31,midwest
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$35,000 to $49,999",I'm a little concerned,25,west
5 - 9 years,Full-time employee (in-house),Ready to call it quits,"$25,000 to $34,999",I'm a little concerned,24,midwest
